順位,セレクトブクマ（タイトル、URL）,ブクマ順（タイトル、URL）,Google（タイトル、URL）,,,,,,,
1,healthクリック｜健康 生活習慣病 サプリメント,ゲンダイネット - 目の疲れをためない３大作戦,健康 - Wikipedia,,,,,,,
2,基礎代謝を高めるための９９の技法,体の歪みを治したい:アルファルファモザイク,家庭の医学・健康 - goo ヘルスケア,,,,,,,
3,ゲンダイネット - 目の疲れをためない３大作戦,重い、痛いを吹き飛ばせ！ 肩コリ解消法 | Web担当者Forum,健康ネット,,,,,,,
4,視力回復マッサージは本当に効き目があるのだ（映像付） | i d e a * i d e a,眼精疲労を治すには:アルファルファモザイク,病院情報、家庭の医学、病気の検索、薬の情報、健康情報 - Yahoo ...,,,,,,,
5,重い、痛いを吹き飛ばせ！ 肩コリ解消法 | Web担当者Forum,金も時間も掛からない花粉症予防の仕方:アルファルファモザイク,厚生労働省：健康,,,,,,,
6,体の歪みを治したい:アルファルファモザイク,healthクリック｜健康 生活習慣病 サプリメント,健康 ON-LINE,,,,,,,
7,病院検索ならここカラダ,蒸しタオルを使うと酷使した目の疲れが取れる - GIGAZINE,asahi.com（朝日新聞社）：医療・健康・ニュース,,,,,,,
8,意外に効き目のある視力回復マッサージ,疲れ目：パソコン作業で肩こり、視力低下など眼精疲労　対策は…（上） - 毎日ｊｐ(毎日新聞),いきいき健康 NIKKEI NET,,,,,,,
9,蒸しタオルを使うと酷使した目の疲れが取れる - GIGAZINE,ビジネスマンの不死身力：「夜食は太る」の科学 (1/2) - ITmedia エンタープライズ,[健康管理] All About,,,,,,,
10,MouRa｜Net現代｜巷にはびこる「健康情報」50のウソ・ホント,基礎代謝を高めるための９９の技法,ケンコーコム - 健康メガショップ,,,,,,,
11,第1回　眼の疲れを取る：ITpro,MouRa｜Net現代｜巷にはびこる「健康情報」50のウソ・ホント,健康とは - はてなキーワード,,,,,,,
12,PCで眼が疲れない方法 - 萌え理論Blog,第1回　眼の疲れを取る：ITpro,NHK健康ホームページ：トップページ,,,,,,,
13,5時間以下の睡眠続け死亡率1.7倍に　7時間寝よう｜Ameba News,姿勢をよくするための運動 - Tech Mom from Silicon Valley,健康と医学 - Yahoo!カテゴリ,,,,,,,
14,視力回復とレーシックのアイポータル,口臭をなくしたい！:アルファルファモザイク,asahi.com（朝日新聞社）：治療薬で健康被害、入院患者の5人に1人 3 ...,,,,,,,
15,分裂勘違い君劇場 - シャンプーとリンスと石鹸は使わない方がいい,【2ch】ニュー速クオリティ:疲労が劇的に回復する食べ物,健康と医療の総合情報サイト | 健康Salad,,,,,,,
16,眼精疲労を治すには:アルファルファモザイク,視力回復とレーシックのアイポータル,Medical Tribune あなたの健康百科,,,,,,,
17,割れた腹筋を手に入れるトレーニングを教えてもらいました。 | その他(ライフ) | とりあえず...,PCで眼が疲れない方法 - 萌え理論Blog,医学・健康情報サイト J-Medical,,,,,,,
18,極東ブログ: 素人風邪対策,5時間以下の睡眠続け死亡率1.7倍に　7時間寝よう｜Ameba News,健康美容EXPO-健康食品、美容の商材、原料、製造探しに,,,,,,,
19,医学都市伝説: 暗いところで本を読んでも目は悪くならない,なんでも評点:空腹は幸福？ ? ストレスで腹が減ったときは何も食べずに我慢した方がストレスに打ち克てる...,健康ウォーキング,,,,,,,
20,なかなか眠れない人のための簡単に眠る10の方法 - GIGAZINE,指をポキポキ鳴らすと太くなるって本当？,主婦の友社｜雑誌情報｜「健康 2010年1月号」,,,,,,,
21,【2ch】ニュー速クオリティ:疲労が劇的に回復する食べ物,視力回復マッサージは本当に効き目があるのだ（映像付） | i d e a * i d e a,健康日本21,,,,,,,
22,BMI判定,医学都市伝説: 暗いところで本を読んでも目は悪くならない,Google ディレクトリ - World > Japanese > 健康,,,,,,,
23,金も時間も掛からない花粉症予防の仕方:アルファルファモザイク,体に良い座り方、いす選びのポイント ? ＠IT自分戦略研究所,（財）日本健康・栄養食品協会,,,,,,,
24,メルクマニュアル医学百科最新家庭版,極東ブログ: 素人風邪対策,ホーム - 全国健康保険協会,,,,,,,
25,睡眠時間を記録するサイト | ねむログ,病院検索ならここカラダ,独立行政法人 国立健康・栄養研究所 : トップページ,,,,,,,
26,シゴタノ！ - 睡眠時間を短くする１４のコツ＜前編＞,スラッシュドット・ジャパン | 睡眠不足だと仕事がはかどらない理由、科学的に明らかになる,健康倶楽部 ,,,,,,,
27,「うつ」にならない、繰り返さない ? ＠IT自分戦略研究所,精神状態の健康がピンチになった時の３つの対処 - koeだめ,あいち健康プラザ あいち健康の森健康科学総合センター,,,,,,,
28,姿勢をよくするための運動 - Tech Mom from Silicon Valley,意外に効き目のある視力回復マッサージ,健康 -雑誌のネット書店 Fujisan.co.jp,,,,,,,
29,口臭をなくしたい！:アルファルファモザイク,【2ch】ニュー速クオリティ:肌の綺麗な人がしてる事,健康情報館健康でドンドン！,,,,,,,
30,視力検査 - あなたの視力 今いくつ？：視力回復のアイポータル,タバコと同じくらい有害--レーザープリンタに健康上のリスク:ニュース - CNET Japan,健康食品ナビ＜東京都福祉保健局＞,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,