順位,セレクトブクマ（タイトル、URL）,ブクマ順（タイトル、URL）,Google（タイトル、URL）,,
1,★前田有一の超映画批評★,★前田有一の超映画批評★,Yahoo!映画 - 映画情報,,
2,みんなのシネマレビュー,みんなのシネマレビュー,映画情報 - goo 映画,,
3,あの映画のココがわからない　まとめサイト,あの映画のココがわからない　まとめサイト,映画・DVDと映画館の上映時間を完全網羅 | Movie Walker,,
4,allcinema ONLINE 映画データベース,allcinema ONLINE 映画データベース,映画のことならeiga.com,,
5,映画生活 - 新作映画情報,超映画批評,映画「サマーウォーズ」公式サイト,,
6,超映画批評,段ボールで『2001年宇宙の旅』をリメイクできるか？ - ベイエリア在住町山智浩アメリカ日記,映画 - Wikipedia,,
7,CinemaScape?映画批評空間?,映画生活 - 新作映画情報,TOHOシネマズ,,
8,cinemacafe.net シネマカフェ ?映画ファンによる、映画ファンのための、映画的ライフスタイル・エンターテイメント・サイト?,CinemaScape?映画批評空間?,ワーナー・マイカル・シネマズ－映画館、映画情報、上映スケジュール ...,,
9,eiga.com,痛いニュース(ﾉ∀`):もっとも感動した映画トップ10発表,大ブーイング！ぐだぐだ最終回「JIN」映画化？TBS意外な反応 ...,,
10,いのちの食べかた,404 Blog Not Found:アマとプロとが選んだディストピア映画歴代トップ26 - 1,新作映画情報「ぴあ映画生活」,,
11,The Internet Movie Database (IMDb),【2ch】ニュー速クオリティ:一生のうちに一度は見ておくべき映画,映画館・シネコンの【ムービックス-MOVIX】,,
12,時をかける少女,cinemacafe.net シネマカフェ ?映画ファンによる、映画ファンのための、映画的ライフスタイル・エンターテイメント・サイト?,映画データベース - allcinema,,
13,破壊屋_2007年の映画の感想_恋空,「少林少女」はこんなにすごい！ - かむかむごっくん,シネマスクランブル 映画予告編・映画ランキング・映画上映 ...,,
14,ダーウィンの悪夢,もっと知られていい映画:アルファルファモザイク,チネチッタ【川崎・映画館】公式サイト,,
15,DEATH NOTE -デスノート-,どうしてハリウッド映画は予算に何百億円もかけられるのか？ - GIGAZINE,新宿バルト9,,
16,X51.ORG : 脳性マヒの殺人鬼 — 『おそいひと』主演・住田雅清インタビュー,超映画批評『それでもボクはやってない』98点（100点満点中）,映画、映画館検索 - TSUTAYA online,,
17,映画「日本以外全部沈没」公式サイト,flowerwild.net ? 蓮實重彦インタビュー──リアルタイム批評のすすめvol.1,映画、ビデオ - Yahoo!カテゴリ,,
18,段ボールで『2001年宇宙の旅』をリメイクできるか？ - ベイエリア在住町山智浩アメリカ日記,eiga.com,映画とは - はてなキーワード,,
19,Yahoo! JAPAN - 秒速5センチメートル,2007年の映画をふりかえる／結果発表 - 空中キャンプ,『アバター』は映画の未来にiPhone登場なみの衝撃を与える,,
20,不都合な真実,超映画批評『明日、君がいない』97点（100点満点中）,映画・映画館・試写会 | ウーマンエキサイト シネマ(映画),,
21,映画『さくらん』公式サイト,X51.ORG : 脳性マヒの殺人鬼 ? 『おそいひと』主演・住田雅清インタビュー,日本映画のガラパゴス化、インフェルノ鎖国 - 俺の邪悪なメモ,,
22,痛いニュース(ﾉ∀`):もっとも感動した映画トップ10発表,いのちの食べかた,東宝WEB SITE,,
23,超映画批評『それでもボクはやってない』98点（100点満点中）,超映画批評『僕の彼女はサイボーグ』採点不能（100点満点中）,Yahoo!映画 - 映画館検索,,
24,〜木曜洋画劇場のCM〜,破壊屋_2007年の映画の感想_恋空,109シネマズ公式ホームページ,,
25,flowerwild.net − 蓮實重彦インタビュー──リアルタイム批評のすすめvol.1,超映画批評『靖国　ＹＡＳＵＫＵＮＩ』0点（100点満点中）,前田有一の超映画批評,,
26,映画「恋愛睡眠のすすめ」公式サイト,超映画批評『シッコ』96点（100点満点中）,シネマぴあ,,
27,著作権の切れた過去の名作映画やドキュメンタリーをダウンロード - GIGAZINE,【2ch】ニュー速クオリティ:観るまでバカにしてたのに観たら面白かった映画,@nifty映画 - 映画情報,,
28,404 Blog Not Found:アマとプロとが選んだディストピア映画歴代トップ26 - 1,痛いニュース(ﾉ∀`):大人が選ぶ泣ける洋画ベスト30　1位「タイタニック」、2位「アルマゲドン」,無料映画館,,
29,どうしてハリウッド映画は予算に何百億円もかけられるのか？ - GIGAZINE,超映画批評『ミスト』90点（100点満点中）,映画 | WOWOWオンライン,,
30,映画「太陽」公式サイト,押井守監督最新作 映画「スカイ・クロラ The Sky Crawlers」公式サイト,映画ならGyaO! 【映画】 無料映画の映像視聴｜GyaO![ギャオ]映画,,